Fecha_Ocurrencia,Codigo_Accidente,Direccion,Barrio,Vehiculos Involucrados,Heridos,Accidente con,Muertes,Clase de Accidente,severidad,hora,dia_semana,mes,fin_semana,Año,Mes,Mes_nombre,lat,lon
2024-07-11,A001651967,CALLE 16 CARRERA 33 -  BACHUE,BACHUE,2,1,HERIDOS,0,CHOQUE,0,0,Thursday,7,0,2024,7,julio,,
2024-07-13,A001651968,CARRERA 20 N 16A - 30  -  MANCERA SAN ISIDRO DE CHICHIMENE,MANCERA,1,0,MUERTOS,1,OTRO,1,0,Saturday,7,1,2024,7,julio,3.9919826,-73.7594884
2024-07-14,A001651969,DIAGONAL 15 N-34 -01  - PRADOS CODEM,SIN INFORMACIÓN,2,3,HERIDOS,0,CHOQUE,0,0,Sunday,7,1,2024,7,julio,,
2024-07-17,A001651970,KILOMETRO 1+200 MTS   -,SIN INFORMACIÓN,2,2,HERIDOS,0,CHOQUE,0,0,Wednesday,7,0,2024,7,julio,,
2024-07-16,A001651971,CARRERA 4 N. 18 - 96   -  POPULAR,POPULAR,2,2,HERIDOS,0,CHOQUE,0,0,Tuesday,7,0,2024,7,julio,3.9854568,-73.7597031
2024-07-20,A001651972,CALLE 11 CARRERA 25 -  SAMAN SANTA TERESITA,SAMAN,2,1,HERIDOS,0,CHOQUE,0,0,Saturday,7,1,2024,7,julio,,
2024-07-26,C001588150,KILOMETRO 45+500 MTS   -  VÃA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,2,HERIDOS,0,CHOQUE,0,0,Friday,7,0,2024,7,julio,,
2024-08-03,A001651973,CALLE 16A N.41 -33  -  BALCONES DE SAN DIEGO,BALCONES DE SAN DIEGO,1,1,HERIDOS,0,ATROPELLO,0,0,Saturday,8,1,2024,8,agosto,,
2024-08-09,A001651974,CALLE 15 CARRERA 15 -  SIN INFORMACIÃ“N DEL BARRIO,SIN INFORMACIÓN,2,1,HERIDOS,0,CHOQUE,0,0,Friday,8,0,2024,8,agosto,,
2024-08-10,A001651975,CALLE 14 CARRERA 30 - BANCARIIOS,SIN INFORMACIÓN,2,3,HERIDOS,0,CHOQUE,0,0,Saturday,8,1,2024,8,agosto,,
2024-08-10,A001651976,AVENIDA 23 N. 28-65  -  VILLA LUCIA,VILLA LUCIA,2,2,HERIDOS,0,CHOQUE,0,0,Saturday,8,1,2024,8,agosto,,
2024-08-12,A001651977,CALLE 14 CRA 36 -  SIN INFORMACIÃ“N DEL BARRIO,SIN INFORMACIÓN,2,2,HERIDOS,0,CHOQUE,0,0,Monday,8,0,2024,8,agosto,,
2024-08-18,A001651980,CARRERA 17 CALLE  17 -  SIN INFORMACIÃ“N DEL BARRIO,SIN INFORMACIÓN,2,1,HERIDOS,0,CHOQUE,0,0,Sunday,8,1,2024,8,agosto,,
2024-08-17,A001651978,DIAGONAL 8 N.18-127  - BARR/LAS FERIAS,SIN INFORMACIÓN,2,2,HERIDOS,0,CHOQUE,0,0,Saturday,8,1,2024,8,agosto,,
2024-08-17,A001651979,CARRERA 23 FRENTE ALA ESTACION PRIMAX  -,SIN INFORMACIÓN,2,2,HERIDOS,0,CHOQUE,0,0,Saturday,8,1,2024,8,agosto,,
2024-08-18,A001651983,KILOMETRO 15 VIA VAQUEROS -CHICHIMENE  -,SIN INFORMACIÓN,2,0,MUERTOS,1,CHOQUE,1,0,Sunday,8,1,2024,8,agosto,,
2024-08-20,A001651981,CALLE 13 CARRERA 25 -  SAN JOSÃ‰,SAN JOSÉ,2,1,HERIDOS,0,CHOQUE,0,0,Tuesday,8,0,2024,8,agosto,3.9904639,-73.770546
2024-08-24,A001651984,CALLE 16 CARRERA 31 -  SIN INFORMACIÃ“N DEL BARRIO,SIN INFORMACIÓN,2,1,HERIDOS,0,CHOQUE,0,0,Saturday,8,1,2024,8,agosto,,
